Municipality,2012,2011,2010,2009,2008
Barrie,,,,,
Calgary,,,,,
Hamilton,2756.93 ,2836.86 ,,,
London,,,,,
Ottawa,3721.23 ,3344.55 ,2764.21 ,2858.95 ,
Sudbury (Greater),5074.30 ,5047.12 ,4868.64 ,4904.85 ,
Thunder Bay,,,,,
Toronto,,,,,
Windsor,,,,,
Winnipeg,,,,,
