Municipality,2012,2011,2010,2009,2008
Barrie,143000.00,141000.00,141000.00,140000.00,
Calgary,1120225.00,1090936.00,1071515.00,,
Hamilton,535234.00,531057.00,528502.00,525697.00,519109.00
London,369940.00,366150.00,365200.00,362235.00,358838.00
Ottawa,935073.00,927118.00,917570.00,908390.00,898150.00
Sudbury (Greater),161900.00,160300.00,158900.00,160700.00,160700.00
Thunder Bay,108359.00,108359.00,109140.00,109140.00,109140.00
Toronto,2791140.00,2790200.00,2773000.00,2755800.00,2738600.00
Windsor,210891.00,210891.00,216473.00,216473.00,216473.00
Winnipeg,704800.00,691800.00,,,
