Municipality,2012,2011,2010,2009,2008
Barrie,0.038,0.05,0.04,0.04,
Calgary,0.028,0.029,0.03,,
Hamilton,0.081,0.088,0.083,0.09,
London,0.072,0.086,0.099,0.06,
Ottawa,0.035,0.039,0.028,0.05,
Sudbury (Greater),0.052,0.057,0.07,0.08,
Thunder Bay,0.083,0.09,0.086,0.09,
Toronto,0.028,0.027,0.03,0.03,
Windsor,0.108,0.095,0.057,0.05,
Winnipeg,0.223,0.228,,,
