Municipality,2012,2011,2010,2009,2008
Barrie,1.01,0.88,0.89,,
Calgary,1.07,1.1,1.13,,
Hamilton,0.97,0.91,0.96,,
London,0.97,0.98,0.99,,
Ottawa,1.07,1.1,1.03,,
Sudbury (Greater),0.95,0.96,0.92,,
Thunder Bay,1.77,1.75,1.74,,
Toronto,1,1,1,,
Windsor,1.17,1.17,1.12,,
Winnipeg,1.23,1.22,,,
