Municipality,2012,2011,2010,2009,2008
Barrie,52244.00,52200.00,51295.00,50123.00,
Calgary,434474.00,422290.00,414185.00,,
Hamilton,215733.00,212262.00,209965.00,207667.00,203643.00
London,169145.00,167570.00,164945.00,162819.00,159393.00
Ottawa,387732.00,382873.00,377098.00,371975.00,365770.00
Sudbury (Greater),74069.00,73312.00,72536.00,71854.00,71715.00
Thunder Bay,49547.00,49547.00,49485.00,49485.00,49485.00
Toronto,1118435.00,1097600.00,1090800.00,1084000.00,1082000.00
Windsor,87840.00,86144.00,88450.00,88450.00,88450.00
Winnipeg,283546.00,281702.00,,,
