Municipality,2012,2011,2010,2009,2008
Barrie,2.57,1.96,1.79,1.45,
Brant,,,,,
Hamilton,1.75,1.72,2.03,2.00,
London,1.48,1.51,1.44,1.59,
Ottawa,1.64,1.41,1.36,1.67,
Sudbury (Greater),1.93,2.02,2.00,2.38,
Thunder Bay,1.78,1.94,2.97,1.99,
Toronto,1.96,2.10,1.98,2.02,
Waterloo,2.26,2.38,2.38,2.68,
Windsor,2.25,2.13,2.01,2.04,
Winnipeg,2.05,2.14,2.21,2.31,
