Municipality,2012,2011,2010,2009,2008
Barrie,,,0.01,0.00,
Brant,,,,,0.01
Hamilton,0.01,0.01,0.01,0.01,
London,0.02,0.01,0.02,0.02,0.01
Ottawa,0.02,0.01,0.01,0.01,0.00
Sudbury (Greater),0.01,0.01,0.01,0.00,0.00
Thunder Bay,0.06,0.08,0.06,0.04,0.03
Toronto,0.01,0.01,0.01,0.01,0.01
Waterloo,0.02,0.01,0.01,0.02,0.01
Windsor,0.00,0.00,0.03,0.01,0.02
Winnipeg,0.01,0.00,0.00,0.00,
