Municipality,2012,2011,2010,2009,2008
Barrie,18.3,19.8,21.1,23.3,
Brant,,,,,21.9
Hamilton,32.2,32.2,28.2,28.1,26.6
London,40.4,40.6,39.6,36.6,34.4
Ottawa,34.9,39.6,36.7,30.4,28.1
Sudbury (Greater),27.4,26.1,25.3,21.8,23.3
Thunder Bay,31.3,30.0,26.9,26.1,32.1
Toronto,34.8,35.3,35.6,33.9,33.2
Waterloo,18.1,17.4,17.4,16.6,15.4
Windsor,22.3,21.7,21.1,19.2,19.9
Winnipeg,18.9,18.1,17.8,17.3,
