Municipality,2012,2011,2010,2009,2008
Barrie,1.33,2.03,0.55,0.58,
Brant,,,,,0.66
Hamilton,3.11,3.48,0.82,,0.64
London,0.96,0.94,0.59,0.50,0.66
Ottawa,1.43,1.53,1.35,1.34,0.60
Sudbury (Greater),0.71,0.85,0.82,0.80,0.90
Thunder Bay,1.26,1.55,0.72,0.42,0.57
Toronto,0.99,0.84,0.78,0.62,0.67
Waterloo,0.25,0.17,0.14,0.31,0.12
Windsor,1.81,1.55,0.76,1.00,1.29
Winnipeg,0.50,0.54,0.49,0.49,
