Municipality,2012,2011,2010,2009,2008
Barrie,10.41,10.31,10.97,11.94,
Brant,,,,,7.51
Hamilton,12.49,12.68,11.89,11.46,9.84
London,11.31,11.34,11.06,11.13,10.46
Ottawa,11.43,11.75,11.41,11.72,11.64
Sudbury (Greater),6.60,6.62,6.62,6.47,7.54
Thunder Bay,7.39,7.60,7.95,8.21,7.96
Toronto,11.09,11.73,11.56,11.29,10.88
Waterloo,6.16,6.40,6.37,6.54,6.34
Windsor,5.85,5.85,5.65,6.70,6.44
Winnipeg,7.63,7.76,7.89,8.45,
