Municipality,2012,2011,2010,2009,2008
Barrie,6.86,11.12,6.14,5.17,
Brant,,,,,6.58
Hamilton,6.26,6.06,6.03,,5.69
London,5.72,5.76,6.39,5.51,5.88
Ottawa,5.36,5.36,5.55,5.39,4.84
Sudbury (Greater),5.04,4.71,5.49,5.26,5.35
Thunder Bay,5.17,5.85,4.44,4.30,4.49
Toronto,6.20,6.08,6.26,6.31,6.21
Waterloo,3.65,3.56,3.82,3.38,3.83
Windsor,4.21,3.95,3.89,3.07,3.10
Winnipeg,4.20,4.53,4.09,4.25,
