Municipality,2012,2011,2010,2009,2008
Barrie,2.20,1.67,1.51,1.20,
Brant,,,,,2.18
Hamilton,1.47,1.44,1.73,1.72,2.17
London,1.24,1.27,1.19,1.31,1.50
Ottawa,1.61,1.39,1.34,1.64,1.63
Sudbury (Greater),1.61,1.69,1.66,1.99,1.97
Thunder Bay,1.59,1.75,2.78,1.81,1.50
Toronto,1.66,1.81,1.71,1.74,1.95
Waterloo,2.05,2.16,2.16,2.44,2.49
Windsor,1.86,1.79,1.68,1.66,2.06
Winnipeg,1.96,2.06,2.15,,
