Municipality,2012,2011,2010,2009,2008
Barrie,,3.70,4.62,5.60,
Brant,,,,,2.11
Hamilton,5.58,5.88,5.98,5.59,4.67
London,4.98,5.01,4.76,5.25,4.26
Ottawa,4.74,5.38,4.43,5.05,5.00
Sudbury (Greater),2.68,2.23,2.27,2.30,3.00
Thunder Bay,2.85,2.59,3.34,3.34,2.93
Toronto,5.26,5.10,4.86,4.63,4.68
Waterloo,1.83,1.86,1.92,2.27,2.17
Windsor,2.37,1.91,1.85,2.33,4.55
Winnipeg,3.96,3.62,3.39,3.51,
