Municipality,2012,2011,2010,2009,2008
Barrie,2.57,1.96,1.79,1.45,
Brant,,,,,
Hamilton,1.77,1.73,2.05,,
London,1.53,1.58,1.53,1.69,
Ottawa,1.65,1.42,1.37,1.68,
Sudbury (Greater),1.93,2.02,2.00,2.38,
Thunder Bay,1.78,1.94,2.97,1.99,
Toronto,1.99,2.12,2.01,2.04,
Waterloo,2.26,2.38,2.38,2.68,
Windsor,2.23,2.13,2.01,2.04,
Winnipeg,2.05,2.15,2.21,,
